tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0097848,Mother,,,,1990.0,200.0,"Drama,History",7.5,184
tt0097849,Mat Iisusa,,,,1991.0,91.0,Drama,5.1,12
tt0097850,¡Maten a Chinto!,,,,1990.0,85.0,"Action,Crime,Drama",6.9,32
tt0097851,Mathilukal,,,,1990.0,120.0,"Drama,Romance",8.2,1575
tt0097863,Men in Love,,,,1990.0,85.0,"Drama,Romance",3.7,50
tt0097864,Meng gui hu li jing,,,,1991.0,91.0,"Action,Comedy,Fantasy",5.0,46
tt0097874,Metamorphosis,,,,1990.0,96.0,"Horror,Sci-Fi",3.9,1035
tt0097875,Meteo,,,,1990.0,98.0,"Drama,Mystery,Sci-Fi",6.7,344
tt0097884,May Fools,,,,1990.0,107.0,"Comedy,Romance",7.2,3334
tt0097893,Miss Missouri,,,,1990.0,103.0,"Comedy,Drama",5.2,67
tt0097894,The Missing Reel,,,,1990.0,75.0,"Crime,Drama,Mystery",6.5,13
tt0097910,Moon 44,,,,1990.0,98.0,"Action,Sci-Fi,Thriller",5.0,5549
tt0097912,Morir en el golfo,,,,1990.0,93.0,Drama,6.9,62
tt0097919,Motivsuche,,,,1990.0,106.0,Documentary,5.7,15
tt0097928,Murder Blues,,,,1991.0,90.0,"Drama,Thriller",5.0,65
tt0097949,"Märkische Heide, märkischer Sand",,,,1990.0,58.0,Documentary,8.5,12
tt0097968,Nezný barbar,,,,1990.0,88.0,"Comedy,Drama",7.3,98
tt0097984,Ninja in Ancient China,,,,1993.0,92.0,"Action,Adventure,Drama",5.0,40
tt0098004,Nochevala tuchka zolotaya...,,,,1990.0,97.0,Drama,7.1,39
tt0098018,"O, xiangxue",,,,1991.0,89.0,Family,8.1,15
tt0098030,Ono,,,,1990.0,124.0,"Comedy,Drama,History",6.7,222
tt0098043,"Out of Sight, Out of Mind",,,,1990.0,94.0,"Mystery,Thriller",3.4,296
tt0098050,Ovejas negras,,,,1990.0,84.0,"Comedy,Crime,Drama",5.9,110
tt0098063,Paprika,,,,1991.0,99.0,Drama,5.5,4435
tt0098064,Pareja enloquecida busca madre de alquiler,,,,1990.0,97.0,Comedy,4.3,32
tt0098070,Passi d'amore,,,,1990.0,100.0,Drama,6.4,13
tt0098077,Peraustrínia 2004,,,,1990.0,75.0,"Animation,Sci-Fi",7.3,49
tt0098100,The Platinum Triangle,,,,1990.0,91.0,"Crime,Mystery,Thriller",5.1,40
tt0098136,Prom Night III: The Last Kiss,,,,1990.0,97.0,"Comedy,Horror",4.6,2439
tt0098139,Warsaw Bridge,,,,1990.0,85.0,Drama,6.6,333
tt0098144,La punyalada,,,,1990.0,117.0,"Adventure,Drama",6.7,16
tt0098150,Magic Cop,,,,1990.0,87.0,"Comedy,Crime,Fantasy",6.8,635
tt0098172,Reason to Die,,,,1990.0,87.0,"Action,Crime,Thriller",4.8,68
tt0098181,Reise ohne Wiederkehr,,,,1991.0,109.0,Drama,5.2,12
tt0098199,The Revenger,,,,1990.0,87.0,"Action,Adventure,Drama",5.0,378
tt0098211,Cyber-C.H.I.C.,,,,1990.0,102.0,"Action,Comedy,Sci-Fi",2.4,334
tt0098244,"Saturday, Sunday and Monday",,,,1990.0,119.0,Comedy,6.4,263
